36,75,10,1,2,x,x,
36,23,10,2,1,3,x,
97,23,10,3,2,4,17,
97,71,10,4,5,16,x,
97,120,10,5,4,6,13,
97,128,10,6,5,7,9,
23,128,10,7,6,8,x,
23,170,10,8,7,x,x,
97,221,10,9,6,10,x,
173,221,10,10,9,14,11,
173,193,10,11,10,12,x,
147,193,10,12,13,11,x,
147,120,10,13,5,12,15,
221,221,10,14,10,15,x,
221,120,10,15,5,14,x,
221,71,10,16,15,17,x,
147,23,10,17,3,16,x,
